Booking ID,Announcement Date,Vehicle,Customer(s),Customer Disclosure,Number of Launches in booking,Announced Timeframe,Launch Site,Contract Value - Disclosed ($),Contract Value - Estimated ($),Status,Timeframe Change History,Sources,Notes
M-2026-097,2020-09-01,Electron,Synspective,Disclosed,1,"26 September 2026, 00:15 UTC","LC-1B (Mahia, NZ)",,9020000,Scheduled (date set),"2026-09-21: first observation - date set for 26 September 2026, 00:15 UTC. (observed 2026-09-21)",https://en.wikipedia.org/wiki/List_of_Electron_launches | https://rocketlabcorp.com/updates/,"Mission ""Owlright, Owlright, Owlright"". 13th of the 26 dedicated Synspective StriX launches. Drawn from booking B-SYNSPECTIVE-26 - do not double count."
M-LOXSAT,2023-08-01,Electron,Eta Space (with NASA),Disclosed,1,September 2026,"LC-1 (Mahia, NZ)",,9020000,Booked,2026-09-21: first observation - announced timeframe 'September 2026'. (observed 2026-09-21),https://en.wikipedia.org/wiki/List_of_Electron_launches | https://rocketlabcorp.com/updates/,"Rocket Lab Photon spacecraft for Eta Space / NASA LOXSAT, an on-orbit cryogenic fluid management demonstration informing the Cryo-Dock propellant depot (target 2030). AMBIGUITY: 'September 2026' is now nearly elapsed with no launch date announced - watch for a slip into Q4 2026. Mission includes a Photon spacecraft, so revenue spans Launch Services and Space Systems; the launch-only estimate shown will understate total mission revenue."
M-ASPERA,2024-06-11,Electron,NASA,Disclosed,1,September 2026,"LC-1 (Mahia, NZ)",,9020000,Booked,2026-09-21: first observation - announced timeframe 'September 2026'. (observed 2026-09-21),https://en.wikipedia.org/wiki/List_of_Electron_launches | https://rocketlabcorp.com/updates/,"NASA Aspera SmallSat (galaxy formation/evolution astrophysics), awarded under NASA's Venture-Class Acquisition of Dedicated and Rideshare (VADR) contract. AMBIGUITY: 'September 2026' nearly elapsed with no announced date - watch for slip."
M-VLF,2022-01-01,Electron,Rocket Lab (internal / private mission),Disclosed,1,NET 2026,"LC-1 (Mahia, NZ)",,,Booked,2026-09-21: first observation - announced timeframe 'NET 2026'. (observed 2026-09-21),https://en.wikipedia.org/wiki/List_of_Electron_launches,"Venus Life Finder: privately funded Rocket Lab/MIT Venus atmospheric-entry probe with a Photon relay. Internally funded - NOT a customer booking, so no revenue estimate is recorded. Has slipped repeatedly since an original 2023 target."
M-NEUTRON-1,2021-03-01,Neutron,Rocket Lab (inaugural test flight),Disclosed,1,Q4 2026,"LC-3 (Wallops, VA)",,,Scheduled (date set),"2025-11-11: Rocket Lab announced the Neutron debut would slip from 2025 into 2026 (observed 2026-09-21); 2026-01-21: first-stage fuel tank ruptured during a hydrostatic pressure trial, pushing the debut from mid-2026 to late 2026 (observed 2026-09-21); 2026-08-10: Rocket Lab maintained Q4 2026 as the target but acknowledged the window 'is narrowing' (observed 2026-09-21).",https://en.wikipedia.org/wiki/Rocket_Lab_Neutron | https://spaceflightnow.com/2026/08/10/window-for-2026-launch-debut-of-rocket-labs-neutron-rockets-is-narrowing-as-development-continues/ | https://spacenews.com/rocket-lab-delays-first-neutron-launch-to-2026/,"Inaugural Neutron flight - Rocket Lab test flight, not a revenue booking, so no value is recorded. HIGHEST-IMPACT TIMING ITEM IN THIS FILE: every Neutron customer booking below is gated on this flight. Status is 'Q4 2026' per Rocket Lab, but independent reporting (Spaceflight Now, 10 Aug 2026) describes the window as narrowing, and one commentator (Motley Fool, 4 Sep 2026) raises a 2027 slip. Rocket Lab has NOT announced a specific date. Treat Q4 2026 as company guidance, not a confirmed date."
M-JAKE4,,HASTE,Undisclosed,Undisclosed,1,NET 2026,"LC-2 (Wallops, VA)",,15000000,Booked,2026-09-21: first observation - announced timeframe 'NET 2026'. (observed 2026-09-21),https://en.wikipedia.org/wiki/List_of_Electron_launches,HASTE mission carrying the 'JAKE 4' payload. Undisclosed customer; best inference is a U.S. government hypersonic-test customer (MACH-TB or DIU/MDA) given the HASTE profile and LC-2 pad. Confidence: medium. Announcement date not established.
B-SYNSPECTIVE-26,2020-09-01,Electron,Synspective,Disclosed,26,2026-2027 for the next tranche; remainder unstated,"LC-1 (Mahia, NZ)",,126280000,Booked,"2025-09: Rocket Lab and Synspective signed a renewal adding 10 dedicated launches, taking the programme to 26 (observed 2026-09-21); 2026-09-21: remaining launches carry the verbatim timeframe '2026-2027' (14th-26th). (observed 2026-09-21)",https://en.wikipedia.org/wiki/List_of_Electron_launches | https://rocketlabcorp.com/updates/,"Largest Electron booking by launch count: 26 dedicated launches for the StriX SAR constellation. 12 flown through flight 96 (19 Sep 2026); the 13th is scheduled for 26 Sep 2026 and is listed separately as M-2026-097. 14 launches remain unflown (13th-26th), of which 13 are beyond the separately-listed M-2026-097. Estimated value covers the 14 unflown launches. CONFLICT: the source describes the September 2025 renewal as '10 additional' launches but then labels the renewed tranche as '16 to 26th', which spans 11 launches. Flagged rather than silently resolved."
B-IQPS-17,2023-08-01,Electron,iQPS,Disclosed,17,2026 / 2026-2027 / NET 2027 by tranche,"LC-1 (Mahia, NZ)",,81180000,Booked,"2026-09-21: first observation - remaining launches carry verbatim timeframes '2026' (9th-11th), '2026-2027' (12th-14th) and 'NET 2027' (15th-17th). (observed 2026-09-21)",https://en.wikipedia.org/wiki/List_of_Electron_launches | https://rocketlabcorp.com/updates/,17 dedicated launches supporting iQPS' planned 36-satellite SAR constellation. 8 flown through flight 93 (20 Aug 2026); 9 remain. Estimated value covers the 9 unflown launches.
B-CAPELLA-4,2022-01-01,Electron,Capella Space,Disclosed,4,2026,"LC-1 (Mahia, NZ) - option to move to LC-2 (Wallops, VA)",,9020000,Booked,2026-09-21: first observation - final launch carries verbatim timeframe '2026'. (observed 2026-09-21),https://en.wikipedia.org/wiki/List_of_Electron_launches,"4 dedicated Acadia launches; 3 flown, 1 remaining (Acadia 10 / Capella-20). Contract includes an option to move any mission to MARS LC-2."
B-HAWKEYE-2,2024-01-01,Electron,HawkEye 360,Disclosed,2,2026,"LC-1 (Mahia, NZ) or LC-2 (Wallops, VA)",,9020000,Booked,2026-09-21: first observation - remaining launch carries verbatim timeframe '2026'. (observed 2026-09-21),https://en.wikipedia.org/wiki/List_of_Electron_launches,"2 dedicated launches; 1 flown (flight 67, 26 Jun 2025), 1 remaining carrying 6 Hawk satellites."
B-LEIDOS-MACHTB-4,2023-09-12,HASTE,Leidos,Disclosed,4,NET 2026,"LC-2 (Wallops, VA)",,45000000,Booked,2026-09-21: first observation - the 3 remaining launches carry verbatim timeframe 'NET 2026'. (observed 2026-09-21),https://www.rocketlabusa.com/updates/rocket-lab-signs-deal-with-leidos-to-launch-four-haste-missions/ | https://en.wikipedia.org/wiki/List_of_Electron_launches,"4 HASTE missions for Leidos under the Multi-Service Advanced Capability Hypersonic Test Bed (MACH-TB) programme. 1 flown (flight 55, 'HASTE A La Vista', 24 Nov 2024); 3 remain. Contract value not disclosed."
B-USSF-RSLP-266M,2026-07-27,HASTE,"U.S. Space Force - Space Systems Command, Rocket Systems Launch Program (RSLP)",Disclosed,12,first launch no earlier than the end of 2026,"Pacific Spaceport Complex - Alaska (PSCA), Kodiak, AK (primary); also LC-1 / LC-2",266000000,,Booked,2026-09-21: first observation - first launch 'no earlier than the end of 2026'. (observed 2026-09-21),https://investors.rocketlabcorp.com/news-releases/news-release-details/rocket-lab-awarded-record-266m-missile-defense-contract-us-space | https://rocketlabcorp.com/updates/record-contract-rslp-kodiak/,"LARGEST LAUNCH CONTRACT IN ROCKET LAB HISTORY: USD 266M disclosed for 12 suborbital launches, plus options for up to 6 additional (18 maximum). Implies approx USD 22.2M per firm launch, though that figure also absorbs activation of a brand-new launch site. NEW LAUNCH SITE: introduces Pacific Spaceport Complex-Alaska (Kodiak) to Rocket Lab's pad inventory alongside LC-1, LC-2 and LC-3. The 6 options are NOT included in the 12-launch count or the disclosed value."
B-NEUTRON-CONFIDENTIAL-2,2024-11-01,Neutron,Undisclosed (commercial satellite constellation operator),Undisclosed,2,starting mid-2026,"LC-3 (Wallops, VA)",,105000000,Slipped,"2024-11: announced as a multi-launch agreement with launches 'starting mid-2026' (observed 2026-09-21); 2026-09-21: mid-2026 has elapsed with Neutron not yet flown, so these launches cannot occur before the inaugural flight (currently Q4 2026 guidance) - marked Slipped. No revised customer timeframe has been announced. (observed 2026-09-21)",https://en.wikipedia.org/wiki/Rocket_Lab_Neutron | https://rocketlabcorp.com/updates/,"First-ever Neutron customer agreement: 2 dedicated missions. Customer undisclosed; described only as a commercial satellite constellation operator - no reliable inference available, confidence: low. STATUS IS AN INFERENCE, not a Rocket Lab announcement: the stated 'mid-2026' start is already impossible given Neutron has not flown. Rocket Lab has not published a revised date."
B-AFRL-REGAL-1,2025-05-01,Neutron,U.S. Air Force Research Laboratory (AFRL),Disclosed,1,no earlier than 2026,"LC-3 (Wallops, VA)",,52500000,Booked,2026-09-21: first observation - announced timeframe 'no earlier than 2026'. (observed 2026-09-21),https://en.wikipedia.org/wiki/Rocket_Lab_Neutron | https://rocketlabcorp.com/updates/,"Rocket Cargo point-to-point survivability experiment under AFRL's Rocket Experimentation for Global Agile Logistics (REGAL) programme. Gated on the Neutron inaugural flight. Value not disclosed; estimate uses the Neutron list-price band, which may not hold for an experimental government mission - confidence: low."
B-CONFIDENTIAL-8-2026,2026-05-07,Neutron + Electron,Undisclosed (confidential customer),Undisclosed,8,2026-2029,"LC-1 (Mahia, NZ) and LC-3 (Wallops, VA)",,289560000,Booked,2026-09-21: first observation - announced timeframe '2026-2029'. (observed 2026-09-21),https://rocketlabcorp.com/updates/rocket-labs-biggest-launch-deal-yet-confidential-customer-books-multiple-neutron-and-electron-launches/ | https://www.stocktitan.net/news/RKLB/rocket-lab-s-biggest-launch-deal-yet-confidential-customer-books-kyyczktsx0oh.html,"Announced 7 May 2026 as Rocket Lab's largest launch contract by mission count at the time: 5 dedicated Neutron launches plus 3 dedicated Electron launches (8 total), spanning 2026-2029, across LC-1 and LC-3. Contract value not disclosed. Customer undisclosed - no reliable inference, confidence: low. Estimate blends 5 x Neutron and 3 x Electron per-launch estimates. The 2026 portion is gated on the Neutron inaugural flight."
B-KEPLER-1,2026-08-10,Neutron,Kepler Communications,Disclosed,1,no earlier than 2028,"LC-3 (Wallops, VA)",,52500000,Booked,2026-09-21: first observation - announced timeframe 'no earlier than 2028'. (observed 2026-09-21),https://investors.rocketlabcorp.com/news-releases/news-release-details/rocket-lab-inks-neutron-launch-deal-kepler-communications | https://www.globenewswire.com/news-release/2026/08/10/3342235/0/en/rocket-lab-inks-neutron-launch-deal-with-kepler-communications.html,"One dedicated Neutron mission deploying multiple Kepler satellites to LEO, adding optical connectivity, on-orbit compute and hosted-payload capacity. Kepler's first dedicated commercial launch booking after deploying its first 33 satellites via rideshare. Timeframe of NET 2028 sits well beyond the Neutron debut, so this is a 2028+ revenue item. Value not disclosed."
